dataset,method,run,seed,train_acc,test_acc,TP,FP,TN,FN,n_classes,d_original,d_retained,efs_std_input,efs_prune_ratio,efs_val_size,efs_best_std
HAR (moderate–high redundancy),MutualInfo,5,1673,1.0,0.9386407766990291,2417,158,-158,158,6,561,50,,,,
HAR (moderate–high redundancy),RFE,5,1673,1.0,0.9778640776699029,2518,57,-57,57,6,561,50,,,,
HAR (moderate–high redundancy),L1,5,1673,1.0,0.978252427184466,2519,56,-56,56,6,561,50,,,,
HAR (moderate–high redundancy),ElliotFS,5,1673,1.0,0.978252427184466,2519,56,-56,56,6,561,126,None,0.8,0.25,2.0
Madelon (heavy redundancy),Baseline,1,4436,1.0,0.703076923076923,251,119,206,74,2,500,500,,,,
Madelon (heavy redundancy),MutualInfo,1,4436,1.0,0.7,244,114,211,81,2,500,50,,,,
Madelon (heavy redundancy),RFE,1,4436,1.0,0.8415384615384616,280,58,267,45,2,500,50,,,,
Madelon (heavy redundancy),L1,1,4436,1.0,0.7753846153846153,263,84,241,62,2,500,50,,,,
Madelon (heavy redundancy),ElliotFS,1,4436,1.0,0.816923076923077,275,69,256,50,2,500,100,None,0.8,0.25,0.0
Madelon (heavy redundancy),Baseline,2,750,1.0,0.7061538461538461,261,127,198,64,2,500,500,,,,
Madelon (heavy redundancy),MutualInfo,2,750,1.0,0.7107692307692308,246,109,216,79,2,500,50,,,,
Madelon (heavy redundancy),RFE,2,750,1.0,0.8492307692307692,286,59,266,39,2,500,50,,,,
Madelon (heavy redundancy),L1,2,750,1.0,0.7846153846153846,279,94,231,46,2,500,50,,,,
Madelon (heavy redundancy),ElliotFS,2,750,1.0,0.8276923076923077,285,72,253,40,2,500,100,None,0.8,0.25,2.0
Madelon (heavy redundancy),Baseline,3,3357,1.0,0.7215384615384616,254,110,215,71,2,500,500,,,,
Madelon (heavy redundancy),MutualInfo,3,3357,1.0,0.7169230769230769,259,118,207,66,2,500,50,,,,
Madelon (heavy redundancy),RFE,3,3357,1.0,0.86,291,57,268,34,2,500,50,,,,
Madelon (heavy redundancy),L1,3,3357,1.0,0.8092307692307692,277,76,249,48,2,500,50,,,,
Madelon (heavy redundancy),ElliotFS,3,3357,1.0,0.8307692307692308,288,73,252,37,2,500,100,None,0.8,0.25,2.0
Madelon (heavy redundancy),Baseline,4,1329,1.0,0.7123076923076923,260,122,203,65,2,500,500,,,,
Madelon (heavy redundancy),MutualInfo,4,1329,1.0,0.7061538461538461,262,128,197,63,2,500,50,,,,
Madelon (heavy redundancy),RFE,4,1329,1.0,0.8584615384615385,288,55,270,37,2,500,50,,,,
Madelon (heavy redundancy),L1,4,1329,1.0,0.7876923076923077,270,83,242,55,2,500,50,,,,
Madelon (heavy redundancy),ElliotFS,4,1329,1.0,0.8261538461538461,282,70,255,43,2,500,100,None,0.8,0.25,1.0
Madelon (heavy redundancy),Baseline,5,1673,1.0,0.7369230769230769,251,97,228,74,2,500,500,,,,
Madelon (heavy redundancy),MutualInfo,5,1673,1.0,0.7338461538461538,246,94,231,79,2,500,50,,,,
Madelon (heavy redundancy),RFE,5,1673,1.0,0.8738461538461538,279,36,289,46,2,500,50,,,,
Madelon (heavy redundancy),L1,5,1673,1.0,0.816923076923077,278,72,253,47,2,500,50,,,,
Madelon (heavy redundancy),ElliotFS,5,1673,1.0,0.8461538461538461,277,52,273,48,2,500,100,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,1,3893,1.0,0.972027972027972,88,2,51,2,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,1,3893,1.0,0.972027972027972,88,2,51,2,2,30,30,,,,
Breast Cancer (low redundancy),RFE,1,3893,1.0,0.972027972027972,88,2,51,2,2,30,30,,,,
Breast Cancer (low redundancy),L1,1,3893,1.0,0.965034965034965,88,3,50,2,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,1,3893,1.0,0.958041958041958,88,4,49,2,2,30,10,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,2,4424,1.0,0.9790209790209791,89,2,51,1,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,2,4424,1.0,0.9790209790209791,89,2,51,1,2,30,30,,,,
Breast Cancer (low redundancy),RFE,2,4424,1.0,0.9790209790209791,89,2,51,1,2,30,30,,,,
Breast Cancer (low redundancy),L1,2,4424,1.0,0.965034965034965,88,3,50,2,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,2,4424,1.0,0.972027972027972,89,3,50,1,2,30,9,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,3,2681,1.0,0.958041958041958,88,4,49,2,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,3,2681,1.0,0.958041958041958,88,4,49,2,2,30,30,,,,
Breast Cancer (low redundancy),RFE,3,2681,1.0,0.958041958041958,88,4,49,2,2,30,30,,,,
Breast Cancer (low redundancy),L1,3,2681,1.0,0.9370629370629371,86,5,48,4,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,3,2681,1.0,0.9370629370629371,86,5,48,4,2,30,8,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,4,2486,1.0,0.972027972027972,88,2,51,2,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,4,2486,1.0,0.972027972027972,88,2,51,2,2,30,30,,,,
Breast Cancer (low redundancy),RFE,4,2486,1.0,0.972027972027972,88,2,51,2,2,30,30,,,,
